dataset,experiment,K,method,alpha_imp,clip_imp,teacher_base,importance_metric,R,epsilon,keep_frac,n_seeds,mean_dice,std_dice,sem_dice,auc,psnr,ssim,source_file,extra
drive,drive_pate_poc_results,,(unparsed),,,,,,1.0,,3,0.571408,0.02585,0.014925,,,,drive_pate_poc_results.json,
drive,drive_pate_poc_results,,(unparsed),,,,,,1.0,,3,0.584772,0.016436,0.009489,,,,drive_pate_poc_results.json,
drive,drive_pate_poc_results,,(unparsed),,,,,,1.0,,3,0.591925,0.015852,0.009152,,,,drive_pate_poc_results.json,
drive,drive_pate_poc_results,,(unparsed),,,,,,3.0,,3,0.580169,0.017095,0.00987,,,,drive_pate_poc_results.json,
drive,drive_pate_poc_results,,(unparsed),,,,,,3.0,,3,0.605515,0.007572,0.004372,,,,drive_pate_poc_results.json,
drive,drive_pate_poc_results,,(unparsed),,,,,,3.0,,3,0.611466,0.010126,0.005846,,,,drive_pate_poc_results.json,
drive,drive_pate_poc_results,,(unparsed),,,,,,5.0,,3,0.587905,0.018893,0.010908,,,,drive_pate_poc_results.json,
drive,drive_pate_poc_results,,(unparsed),,,,,,5.0,,3,0.616249,0.009742,0.005625,,,,drive_pate_poc_results.json,
drive,drive_pate_poc_results,,(unparsed),,,,,,5.0,,3,0.626848,0.009062,0.005232,,,,drive_pate_poc_results.json,
drive,drive_pate_spatial_joint_results,,P_uniform,,,,,,2.0,,5,0.598298,0.015885,0.007104,,,,drive_pate_spatial_joint_results.json,
drive,drive_pate_spatial_joint_results,,P_spatial_WF,,,,,,2.0,,5,0.563192,0.026144,0.011692,,,,drive_pate_spatial_joint_results.json,
drive,drive_pate_spatial_joint_results,,P_uniform,,,,,,8.0,,5,0.616564,0.013033,0.005829,,,,drive_pate_spatial_joint_results.json,
drive,drive_pate_spatial_joint_results,,P_spatial_WF,,,,,,8.0,,5,0.57335,0.022554,0.010086,,,,drive_pate_spatial_joint_results.json,
drive,drive_pate_spatial_joint_results,,P_uniform,,,,,,16.0,,5,0.630535,0.007737,0.00346,,,,drive_pate_spatial_joint_results.json,
drive,drive_pate_spatial_joint_results,,P_spatial_WF,,,,,,16.0,,5,0.582078,0.0208,0.009302,,,,drive_pate_spatial_joint_results.json,
drive,drive_per_channel_delta_results,,(unparsed),,,,,,,,1,18.985188,,,,,,drive_per_channel_delta_results.json,"min=14.092791557312012,max=26.98004150390625,ratio=1.914456844329834"
drive,drive_per_channel_delta_results,,(unparsed),,,,,,,,1,1.5e-05,,,,,,drive_per_channel_delta_results.json,"min=1.057791268976871e-05,max=2.0745934307342395e-05,ratio=1.9612503051757812"
drive,drive_spatial_wf_results,,U_uniform,,,,,,2.0,,5,0.603555,0.013212,0.005909,,,,drive_spatial_wf_results.json,
drive,drive_spatial_wf_results,,S_spatial_WF,,,,,,2.0,,5,0.576151,0.031286,0.013991,,,,drive_spatial_wf_results.json,
drive,drive_spatial_wf_results,,J_joint_WF,,,,,,2.0,,5,0.576343,0.025202,0.011271,,,,drive_spatial_wf_results.json,
drive,drive_spatial_wf_results,,U_uniform,,,,,,8.0,,5,0.619879,0.014479,0.006475,,,,drive_spatial_wf_results.json,
drive,drive_spatial_wf_results,,S_spatial_WF,,,,,,8.0,,5,0.572991,0.022623,0.010117,,,,drive_spatial_wf_results.json,
drive,drive_spatial_wf_results,,J_joint_WF,,,,,,8.0,,5,0.579896,0.024784,0.011084,,,,drive_spatial_wf_results.json,
drive,drive_spatial_wf_results,,U_uniform,,,,,,16.0,,5,0.6311,0.008286,0.003706,,,,drive_spatial_wf_results.json,
drive,drive_spatial_wf_results,,S_spatial_WF,,,,,,16.0,,5,0.575175,0.018063,0.008078,,,,drive_spatial_wf_results.json,
drive,drive_spatial_wf_results,,J_joint_WF,,,,,,16.0,,5,0.579453,0.026848,0.012007,,,,drive_spatial_wf_results.json,
drive,drive_student_distill_5seed_results,,uniform,,,,,,2.0,,5,0.597785,0.015073,,,,,drive_student_distill_5seed_results.json,
drive,drive_student_distill_5seed_results,,channel_WF,,,,,,2.0,,5,0.598507,0.01544,,,,,drive_student_distill_5seed_results.json,
drive,drive_student_distill_5seed_results,,uniform,,,,,,8.0,,5,0.622841,0.014418,,,,,drive_student_distill_5seed_results.json,
drive,drive_student_distill_5seed_results,,channel_WF,,,,,,8.0,,5,0.622534,0.014314,,,,,drive_student_distill_5seed_results.json,
drive,drive_student_distill_5seed_results,,uniform,,,,,,16.0,,5,0.631727,0.008602,,,,,drive_student_distill_5seed_results.json,
drive,drive_student_distill_5seed_results,,channel_WF,,,,,,16.0,,5,0.631796,0.008513,,,,,drive_student_distill_5seed_results.json,
drive,drive_student_distill_multiseed_results,,uniform,,,,,,2.0,,3,0.591922,0.01705,,,,,drive_student_distill_multiseed_results.json,
drive,drive_student_distill_multiseed_results,,channel_WF,,,,,,2.0,,3,0.594297,0.018765,,,,,drive_student_distill_multiseed_results.json,
drive,drive_student_distill_multiseed_results,,uniform,,,,,,8.0,,3,0.617388,0.013148,,,,,drive_student_distill_multiseed_results.json,
drive,drive_student_distill_multiseed_results,,channel_WF,,,,,,8.0,,3,0.622066,0.013743,,,,,drive_student_distill_multiseed_results.json,
drive,drive_student_distill_multiseed_results,,uniform,,,,,,16.0,,3,0.630318,0.008953,,,,,drive_student_distill_multiseed_results.json,
drive,drive_student_distill_multiseed_results,,channel_WF,,,,,,16.0,,3,0.628338,0.004804,,,,,drive_student_distill_multiseed_results.json,
drive,drive_alpha_sweep_results,,(unparsed),,,,,,2.0,,5,0.660476,0.009643,0.004312,,,,drive_alpha_sweep_results.json,
drive,drive_alpha_sweep_results,,(unparsed),,,,,,2.0,,5,0.659787,0.007454,0.003334,,,,drive_alpha_sweep_results.json,
drive,drive_alpha_sweep_results,,(unparsed),,,,,,2.0,,5,0.662327,0.009392,0.0042,,,,drive_alpha_sweep_results.json,
drive,drive_alpha_sweep_results,,(unparsed),,,,,,2.0,,5,0.657952,0.00923,0.004128,,,,drive_alpha_sweep_results.json,
drive,drive_alpha_sweep_results,,(unparsed),,,,,,2.0,,5,0.162776,0.024887,0.01113,,,,drive_alpha_sweep_results.json,
drive,drive_alpha_sweep_results,,(unparsed),,,,,,8.0,,5,0.664057,0.011087,0.004958,,,,drive_alpha_sweep_results.json,
drive,drive_alpha_sweep_results,,(unparsed),,,,,,8.0,,5,0.660134,0.007129,0.003188,,,,drive_alpha_sweep_results.json,
drive,drive_alpha_sweep_results,,(unparsed),,,,,,8.0,,5,0.659557,0.006592,0.002948,,,,drive_alpha_sweep_results.json,
drive,drive_alpha_sweep_results,,(unparsed),,,,,,8.0,,5,0.653823,0.006292,0.002814,,,,drive_alpha_sweep_results.json,
